Row,ContributorID,Name,Role,ChapterName,ChapterNumber
1,http://data.globalchange.gov/person/1000,"Alexander, Michael",Lead Author,Oceans and Marine Resources,24
2,http://data.globalchange.gov/person/1019,"Anderson, David",Contributing Author,Appendix 3: Climate Science Supplement,33
3,http://data.globalchange.gov/person/1019,"Anderson, David",Contributing Author,Appendix 4: Frequently Asked Questions,34
4,http://data.globalchange.gov/person/1019,"Anderson, David",Contributing Author,Our Changing Climate,2
5,http://data.globalchange.gov/person/970,"Antle, John M.",Lead Author,Great Plains,19
6,http://data.globalchange.gov/person/866,"Averyt, Kristen",Lead Author,"Energy, Water, and Land Use",10
7,http://data.globalchange.gov/person/924,"Backer, Lorraine",Contributing Author,Human Health,9
8,http://data.globalchange.gov/person/920,"Balbus, John",Lead Author,Human Health,9
9,http://data.globalchange.gov/person/903,"Beard, Charles",Contributing Author,Human Health,9
10,http://data.globalchange.gov/person/897,"Bennett, T.M. Bull",Convening Lead Author,"Indigenous Peoples, Lands, and Resources",12
11,http://data.globalchange.gov/person/868,"Berry, Leonard",Lead Author,Southeast and the Caribbean,17
12,http://data.globalchange.gov/person/872,"Bidwell, Marcie D.",Lead Author,Rural Communities,14
13,http://data.globalchange.gov/person/1063,"Bierbaum, Rosina",Convening Lead Author,Adaptation,28
14,http://data.globalchange.gov/person/1054,"Birdsey, Richard",Lead Author,Mitigation,27
15,http://data.globalchange.gov/person/1066,"Blair, Maria",Convening Lead Author,Sustained Assessment: A New Vision for Future U.S. Assessments,30
16,http://data.globalchange.gov/person/1066,"Blair, Maria",Lead Author,Adaptation,28
17,http://data.globalchange.gov/person/915,"Blanco, Hilda",Lead Author,Southwest,20
18,http://data.globalchange.gov/person/935,"Bolstad, Paul",Lead Author,Land Use and Land Cover Change,13
19,http://data.globalchange.gov/person/861,"Boyd, James W.",Contributing Author,"Decision Support: Connecting Science, Risk Perception, and Decisions",26
20,http://data.globalchange.gov/person/931,"Bragado, Nancy",Lead Author,"Urban Systems, Infrastructure, and Vulnerability",11
21,http://data.globalchange.gov/person/908,"Breshears, David",Lead Author,Forests,7
22,http://data.globalchange.gov/person/944,"Brody, Samuel",Lead Author,Land Use and Land Cover Change,13
23,http://data.globalchange.gov/person/839,"Brown, Daniel G.",Convening Lead Author,Land Use and Land Cover Change,13
24,http://data.globalchange.gov/person/1055,"Buizer, James",Lead Author,Sustained Assessment: A New Vision for Future U.S. Assessments,30
25,http://data.globalchange.gov/person/1055,"Buizer, James",Lead Author,Mitigation,27
26,http://data.globalchange.gov/person/907,"Burbank, Cynthia J.",Lead Author,Transportation,5
27,http://data.globalchange.gov/person/978,"Burkett, Maxine",Contributing Author,Hawai'i and U.S. Affiliated Pacific Islands,23
28,http://data.globalchange.gov/person/883,"Burkett, Virginia",Lead Author,Southeast and the Caribbean,17
29,http://data.globalchange.gov/person/1043,"Calvin, Katherine",Lead Author,Mitigation,27
30,http://data.globalchange.gov/person/1048,"Campbell, John",Contributing Author,Hawai'i and U.S. Affiliated Pacific Islands,23
31,http://data.globalchange.gov/person/947,"Capalbo, Susan",Lead Author,Northwest,21
32,http://data.globalchange.gov/person/919,"Carmin, JoAnn",Lead Author,"Urban Systems, Infrastructure, and Vulnerability",11
33,http://data.globalchange.gov/person/832,"Carter, Lynne M.",Convening Lead Author,Southeast and the Caribbean,17
34,http://data.globalchange.gov/person/832,"Carter, Lynne M.",Lead Author,Adaptation,28
35,http://data.globalchange.gov/person/9269,"Carter, Shawn L.",Lead Author,"Ecosystems, Biodiversity, and Ecosystem Services",8
36,http://data.globalchange.gov/person/885,"Chapin III, F. Stuart",Lead Author,Adaptation,28
37,http://data.globalchange.gov/person/885,"Chapin III, F. Stuart",Convening Lead Author,Alaska,22
38,http://data.globalchange.gov/person/997,"Chavez, Francisco",Lead Author,Oceans and Marine Resources,24
39,http://data.globalchange.gov/person/855,"Clark, Christopher M.",Lead Author,Biogeochemical Cycles,15
40,http://data.globalchange.gov/person/1036,"Cloyd, Emily Therese",Contributing Author,"Decision Support: Connecting Science, Risk Perception, and Decisions",26
41,http://data.globalchange.gov/person/1018,"Cochran, Patricia",Lead Author,"Indigenous Peoples, Lands, and Resources",12
42,http://data.globalchange.gov/person/1018,"Cochran, Patricia",Lead Author,Alaska,22
43,http://data.globalchange.gov/person/900,"Comrie, Andrew",Lead Author,Southwest,20
44,http://data.globalchange.gov/person/1041,"Corell, Robert W.",Convening Lead Author,Research Needs for Climate and Global Change Assessments,29
45,http://data.globalchange.gov/person/1045,"Cozzetto, Karen",Contributing Author,"Indigenous Peoples, Lands, and Resources",12
