Row	dataset	instruments_on_platform_attributed_to
1	http://data.globalchange.gov/dataset/nasa-podaac-oscar_l4_oc_1deg	22
2	http://data.globalchange.gov/dataset/nasa-podaac-oscar_l4_oc_third-deg	22
3	http://data.globalchange.gov/dataset/nasa-podaac-ccmp_measures_atlas_l4_ow_l3_5a_monthly_wind_vectors_flk	11
4	http://data.globalchange.gov/dataset/nasa-podaac-ccmp_measures_atlas_l4_ow_l3_5a_5day_wind_vectors_flk	11
5	http://data.globalchange.gov/dataset/nasa-podaac-aviso_l4_dyn_topo_1deg_1mo	11
6	http://data.globalchange.gov/dataset/nasa-podaac-ccmp_measures_atlas_l4_ow_l3_0_wind_vectors_flk	11
7	http://data.globalchange.gov/dataset/nasa-podaac-cmc0-2deg-cmc-l4-glob-v2-0	9
8	http://data.globalchange.gov/dataset/nasa-podaac-eur-l4hrfnd-glob-odyssea	7
9	http://data.globalchange.gov/dataset/nasa-podaac-reynolds_ncep_l4_sst_opt_interp_weekly_v2	7
10	http://data.globalchange.gov/dataset/nasa-podaac-merged_tp_j1_ostm_ost_all_v2	7
11	http://data.globalchange.gov/dataset/nasa-podaac-merged_tp_j1_ostm_ost_cycles_v2	7
12	http://data.globalchange.gov/dataset/nasa-podaac-merged_tp_j1_ostm_ost_gmsl_ascii_v2	7
13	http://data.globalchange.gov/dataset/nasa-podaac-mur-jpl-l4-glob-v4-1	7
14	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smi_3month_v3	6
15	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smi_7day_v3	6
16	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smid_3month_v3	6
17	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smid_7day_v3	6
18	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smid_annual_v3	6
19	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smid_daily_v3	6
20	http://data.globalchange.gov/dataset/nasa-podaac-avhrr_pathfinder_l3_sst_5day_daytime_v5	6
21	http://data.globalchange.gov/dataset/nasa-podaac-avhrr_pathfinder_l3_sst_5day_nighttime_v5	6
22	http://data.globalchange.gov/dataset/nasa-podaac-avhrr_pathfinder_l3_sst_7day_daytime_v5	6
23	http://data.globalchange.gov/dataset/nasa-podaac-avhrr_pathfinder_l3_sst_7day_nighttime_v5	6
