Row,ContributorID,Name,Role,ChapterName,ChapterNumber
1,http://data.globalchange.gov/person/840,"Yohe, Gary",Editor,Overview and Report Findings,1
2,http://data.globalchange.gov/person/1017,"Richmond, Terese (T.C.)",Editor,Overview and Report Findings,1
3,http://data.globalchange.gov/person/1039,"Melillo, Jerry",Editor,Overview and Report Findings,1
4,http://data.globalchange.gov/person/1008,"Wuebbles, Donald",Convening Lead Author,Our Changing Climate,2
5,http://data.globalchange.gov/person/1009,"Walsh, John",Convening Lead Author,Our Changing Climate,2
6,http://data.globalchange.gov/person/1024,"Hayhoe, Katharine",Lead Author,Our Changing Climate,2
7,http://data.globalchange.gov/person/1028,"Somerville, Richard",Contributing Author,Our Changing Climate,2
8,http://data.globalchange.gov/person/1019,"Anderson, David",Contributing Author,Our Changing Climate,2
9,http://data.globalchange.gov/person/1906,"Hennon, Paula",Contributing Author,Our Changing Climate,2
10,http://data.globalchange.gov/person/1020,"Stephens, Graeme",Lead Author,Our Changing Climate,2
11,http://data.globalchange.gov/person/956,"Doney, Scott",Contributing Author,Our Changing Climate,2
12,http://data.globalchange.gov/person/1038,"Feely, Richard",Contributing Author,Our Changing Climate,2
13,http://data.globalchange.gov/person/2802,"Vose, Russell S.",Lead Author,Our Changing Climate,2
14,http://data.globalchange.gov/person/1040,"Landerer, Felix",Contributing Author,Our Changing Climate,2
15,http://data.globalchange.gov/person/1026,"Wehner, Michael",Lead Author,Our Changing Climate,2
16,http://data.globalchange.gov/person/1025,"Kunkel, Kenneth",Lead Author,Our Changing Climate,2
17,http://data.globalchange.gov/person/1027,"Thorne, Peter",Lead Author,Our Changing Climate,2
18,http://data.globalchange.gov/person/1023,"Willis, Josh",Lead Author,Our Changing Climate,2
19,http://data.globalchange.gov/person/1022,"Kennedy, John",Contributing Author,Our Changing Climate,2
20,http://data.globalchange.gov/person/1021,"Kossin, James",Lead Author,Our Changing Climate,2
21,http://data.globalchange.gov/person/1031,"Lenton, Tim",Contributing Author,Our Changing Climate,2
22,http://data.globalchange.gov/person/1032,"Kharin, Viatcheslav",Contributing Author,Our Changing Climate,2
23,http://data.globalchange.gov/person/1030,"Knutson, Thomas",Contributing Author,Our Changing Climate,2
24,http://data.globalchange.gov/person/1015,"Reckhow, Ken",Lead Author,Water Resources,3
25,http://data.globalchange.gov/person/1006,"Georgakakos, Aris",Convening Lead Author,Water Resources,3
26,http://data.globalchange.gov/person/1017,"Richmond, Terese (T.C.)",Lead Author,Water Resources,3
27,http://data.globalchange.gov/person/1014,"White, Kathleen",Lead Author,Water Resources,3
28,http://data.globalchange.gov/person/1007,"Fleming, Paul",Convening Lead Author,Water Resources,3
29,http://data.globalchange.gov/person/1016,"Dettinger, Michael",Lead Author,Water Resources,3
30,http://data.globalchange.gov/person/1012,"Peters-Lidard, Christa",Lead Author,Water Resources,3
31,http://data.globalchange.gov/person/1013,"Yates, David",Lead Author,Water Resources,3
32,http://data.globalchange.gov/person/886,"Dell, Jan",Convening Lead Author,Energy Supply and Use,4
33,http://data.globalchange.gov/person/1010,"Franco, Guido",Lead Author,Energy Supply and Use,4
34,http://data.globalchange.gov/person/895,"Tierney, Susan",Convening Lead Author,Energy Supply and Use,4
35,http://data.globalchange.gov/person/4015,"Weyant, John P.",Lead Author,Energy Supply and Use,4
36,http://data.globalchange.gov/person/987,"Newell, Richard G.",Lead Author,Energy Supply and Use,4
37,http://data.globalchange.gov/person/986,"Richels, Rich",Lead Author,Energy Supply and Use,4
38,http://data.globalchange.gov/person/950,"Wilbanks, Thomas J.",Lead Author,Energy Supply and Use,4
